entity_id,state,last_changed
sensor.shellypro3em_9454c5b9b340_total_active_power,9.892,2026-04-28T11:22:52.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.361,2026-04-28T11:23:01.127Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.021,2026-04-28T11:23:15.136Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.933,2026-04-28T11:23:16.178Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.808,2026-04-28T11:23:30.150Z
sensor.shellypro3em_9454c5b9b340_total_active_power,10.094,2026-04-28T11:23:44.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.811,2026-04-28T11:23:50.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.572,2026-04-28T11:23:54.148Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.978,2026-04-28T11:24:08.152Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.153,2026-04-28T11:24:22.149Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.017,2026-04-28T11:24:36.106Z
sensor.shellypro3em_9454c5b9b340_total_active_power,13.021,2026-04-28T11:24:38.104Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.344,2026-04-28T11:24:41.117Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.907,2026-04-28T11:24:56.093Z
sensor.shellypro3em_9454c5b9b340_total_active_power,12.297,2026-04-28T11:24:58.091Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.63,2026-04-28T11:25:00.267Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.421,2026-04-28T11:25:15.079Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.705,2026-04-28T11:25:30.070Z
sensor.shellypro3em_9454c5b9b340_total_active_power,9.774,2026-04-28T11:25:45.123Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.755,2026-04-28T11:25:59.084Z
sensor.shellypro3em_9454c5b9b340_total_active_power,8.529,2026-04-28T11:26:14.046Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.238,2026-04-28T11:26:20.126Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.637,2026-04-28T11:26:22.039Z
sensor.shellypro3em_9454c5b9b340_total_active_power,11.725,2026-04-28T11:26:25.066Z
sensor.shellypro3em_9454c5b9b340_total_active_power,7.705,2026-04-28T11:26:27.038Z
